"!turtle(A2:A16, r m743, 400, 1)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A#6 0.99,B6,A6,B6,G6,B6,F#6,,E6,,E6,,F#6,,G6,,,,G6,F#6,E6,,D6,E6,,B5,-,-,-,-,-,-,A#6,B6,A6,B6,G6,B6,F#6,,E6,,F#6,G6,A6,,G6,F#6,E6,,D6,,E6,,F#6,,E6,-,-,-,-,-,-,-,A#6,B6,A6,B6,G6,B6,F#6,,E6,,E6,,F#6,,G6,,,,G6,F#6,E6,,D6,E6,,B5,-,-,-,-,-,-,A#6,B6,A6,B6,G6,B6,F#6,,E6,,F#6,G6,A6,,G6,F#6,E6,,D6,,E6,,F#6,,E6,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A#5 0.63,,A#5,,G5,,G5,D5,,D5,,D5,G5,,G5,,A5,,A5,,F#5,,F#5,D5,,D5,,D5,F#5,D5,F#5,D5,A#5,,A#5,,G5,,G5,D5,,D5,,D5,G5,,G5,,A5,,A5,,F#5,,F#5,D5,,D5,,D5,,,,,G5,,G5,F#5,,G5,,E5,,B4,,B4,E5,,E5,,F#5,,F#5,,D#5,,D#5,B4,,B4,,B4,D#5,B4,D#5,B4,G5,,G5,E5,,E5,,B4,,B4,,B4,E5,,E5,,F#5,,E5,F#5,,C#5,D#5,B4,,A#4,,B4,-,-,-,,A#5,,A#5,,G5,,G5,D5,,D5,,D5,G5,,G5,,A5,,A5,,F#5,,F#5,D5,,D5,,D5,F#5,D5,F#5,D5,A#5,,A#5,,G5,,G5,D5,,D5,,D5,G5,,G5,,A5,,A5,,F#5,,F#5,D5,,D5,,D5,,,,,G5,,G5,F#5,,G5,,E5,,B4,,B4,E5,,E5,,F#5,,F#5,,D#5,,D#5,B4,,B4,,B4,D#5,B4,D#5,B4,G5,,G5,E5,,E5,,B4,,B4,,B4,E5,,E5,,F#5,,E5,F#5,,C#5,D#5,B4,,B4,,B4,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E5,G5,B5,,E5,G5,B5,,E5,G5,B5,,E5,G5,B5,,B5,F#5,D#5,,B5,F#5,D#5,,D#5,F#5,B5,,B5,F#5,D#5,,E5,G5,B5,,E5,G5,B5,,E5,G5,B5,,E5,G5,B5,,B5,F#5,D#5,,B5,F#5,D#5,,D#5,F#5,B5,,B5,F#5,D#5,B5,,B5,G5,A5,E5,B5,,F#5,G5,E5,B5,,,G5,E5,B5,G5,A5,,E5,B5,G5,A5,E5,B5,G5,A5,,E5,,,B5,,B5,G5,A5,E5,B5,,F#5,G5,E5,B5,,,G5,E5,B5,G5,A5,,E5,B5,G5,A5,E5,B5,G5,A5,,E5,,,B5,,B5,G5,A5,E5,B5,,F#5,G5,E5,B5,,,G5,E5,B5,G5,A5,,E5,B5,G5,A5,E5,B5,G5,A5,,E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A#5,,A#5,,G5,,G5,D5,,D5,,D5,G5,,G5,,A5,,A5,,F#5,,F#5,D5,,D5,,D5,F#5,D5,F#5,D5,A#5,,A#5,,G5,,G5,D5,,D5,,D5,G5,,G5,,A5,,A5,,F#5,,F#5,D5,,D5,,D5,,,,,G5,,G5,F#5,,G5,,E5,,B4,,B4,E5,,E5,,F#5,,F#5,,D#5,,D#5,B4,,B4,,B4,D#5,B4,D#5,B4,G5,,G5,E5,,E5,,B4,,B4,,B4,E5,,E5,,F#5,,E5,F#5,,C#5,D#5,B4,,B4,,B4,-,-,-,,A#5,,A#5,,G5,,G5 0.5,D5,,D5,,D5,G5,,G5,,A5 0.39,,A5,,F#5,,F#5 0.26,D5,,D5,,D5,F#5,D5,F#5,D5,A#5 0.13,,A#5,,G5,
G4 0.63,A4,A#4,,C5,,D5,,G5,A#5,,,,,,,A5,G5,F#5,,E5,,D5,,E5,F#5,,,,,,,G4,A4,A#4,,C5,,D5,,G5,A#5,,,,,,,A5,G5,F#5,,E5,,D5,,E5,D5,,,,,,,,,E4,,E4,G4,,A4,,B4,,B4,,B4,E5,-,D5,,,,,,B4,F#4,,E4,,D#4,,E4,F#4,-,-,-,,,E4,G4,,A4,,B4,,B4,,B4,E5,-,D5,,F#5,,E5,D#5,,C#5,,B4,,A#4,,B4,-,-,-,,A#4,,C5,,D5,,G5,A#5,,,,,,,A5,G5,F#5,,E5,,D5,,E5,F#5,,,,,,,G4,A4,A#4,,C5,,D5,,G5,A#5,,,,,,,A5,G5,F#5,,E5,,D5,,E5,D5,,,,,,,,,E4,,E4,G4,,A4,,B4,,B4,,B4,E5,-,D5,,,,,,B4,F#4,,E4,,D#4,,E4,F#4,-,-,-,,,E4,G4,,A4,,B4,,B4,,B4,E5,-,D5,,F#5,,E5,D#5,,C#5,,B4,,A#4,,B4,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A#4,,C5,,D5,,G5,A#5,,,,,,,A5,G5,F#5,,E5,,D5,,E5,F#5,,,,,,,G4,A4,A#4,,C5,,D5,,G5,A#5,,,,,,,A5,G5,F#5,,E5,,D5,,E5,D5,,,,,,,,,E4,,E4,G4,,A4,,B4,,B4,,B4,E5,-,D5,,,,,,B4,F#4,,E4,,D#4,,E4,F#4,-,-,-,,,E4,G4,,A4,,B4,,B4,,B4,E5,-,D5,,F#5,,E5,D#5,,C#5,,B4,,A#4,,B4,-,-,-,,A#4,,C5,,D5,,G5 0.5,A#5,,,,,,,A5 0.39,G5,F#5,,E5,,D5,,E5 0.26,F#5,,,,,,,G4,A4,A#4 0.13,,C5,,D5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3 0.63,-,-,-,-,-,-,-,A#3,-,-,-,D4,-,-,-,C4,-,-,-,-,-,A3,-,F#3,-,-,-,-,-,-,-,G3,-,-,-,-,-,-,-,A#3,-,-,-,D4,-,-,-,C4,-,-,-,-,-,D4,-,C4,-,-,-,-,-,-,-,G3,-,-,-,-,-,-,-,A#3,-,-,-,D4,-,-,-,C4,-,-,-,-,-,A3,-,F#3,-,-,-,-,-,-,-,G3,-,-,-,-,-,-,-,A#3,-,-,-,D4,-,-,-,C4,-,-,-,-,-,D4,-,C4,-,-,-,-,-,-,-,E3,-,-,-,-,-,-,-,G3,-,-,-,B3,-,-,-,A3,-,-,-,-,-,F#3,-,D#3,-,-,-,-,-,-,-,E3,-,-,-,-,-,-,-,G3,-,-,-,B3,-,-,-,A3,-,-,-,-,-,B3,-,A3,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,G#3 0.99,,,C4,C4,,G#3,,G#3,,,C4,C4,A#4,A#4,A#4,G#3,,,C4,C4,,G#3,,G#3,,,C4,C4,A#4,A#4,A#4,G#3,,,C4,C4,,G#3,,G#3,,,C4,C4,A#4,A#4,A#4,G#3,,,C4,C4,,G#3,,G#3,,,C4,C4,A#4,A#4,A#4,G#3,,,C4,C4,,G#3,,G#3,,,C4,C4,A#4,A#4,A#4,G#3,,,C4,C4,,G#3,,G#3,,,C4,C4,A#4,A#4,A#4,G#3,,,C4,C4,,G#3,,G#3,,,C4,C4,A#4,A#4,A#4,G#3,,,C4,C4,,G#3,,G#3,,,C4,C4,A#4,A#4,A#4,G#3,,,C4,C4,,G#3,,G#3,,,C4,C4,A#4,A#4,A#4,G#3,,,C4,C4,,G#3,,G#3,,,C4,C4,A#4,A#4,A#4,G#3,,,C4,C4,,G#3,,G#3,,,C4,C4,A#4,A#4,A#4,G#3,,,C4,C4,,G#3,,G#3,,,C4,C4,A#4,A#4,A#4,G#3,,,C4,C4,,G#3,,G#3,,,C4,C4,A#4,A#4,A#4,G#3,,,C4,C4,,G#3,,G#3,,,C4,C4,A#4,A#4,A#4,G#3,,,C4,C4,,G#3,,G#3,,,C4,C4,A#4,A#4,A#4,G#3,,,C4,C4,,G#3,,G#3,,,C4,C4,A#4,A#4,A#4,G#3,,,G#5,G#5,,G#3,,G#3,,G#5,C4,G#5,G#5,A#4,A#4,G#3,,,G#5,G#5,,G#3,,G#3,,G#5,G#5,G#5,A#4,A#4,A#4,G#3,,,G#5,G#5,,G#3,,G#3,,G#5,C4,G#5,G#5,A#4,A#4,G#3,,G#5,C4,G#5,G#5,G#3,,G#3,,G#5,G#5,G#5,A#4,A#4,A#4,G#3,,,G#5,G#5,,G#3,,G#3,,G#5,C4,G#5,G#5,A#4,A#4,G#3,,,G#5,G#5,,G#3,,G#3,,G#5,G#5,G#5,A#4,A#4,A#4,G#3,,,G#5,G#5,,G#3,,G#3,,G#5,C4,G#5,G#5,A#4,A#4,G#3,,G#5,C4,G#5,G#5,G#3,,G#3,,G#5,G#5,G#5,A#4,A#4,A#4,G#3,,,G#5,G#5,,G#3,,G#3,,G#5,C4,G#5,G#5,A#4,A#4,G#3,,,G#5,G#5,,G#3,,G#3,,G#5,G#5,G#5,A#4,A#4,A#4,G#3,,,G#5,G#5,,G#3,,G#3,,G#5,C4,G#5,G#5,A#4,A#4,G#3,,G#5,C4,G#5,G#5,G#3,,G#3,,G#5,G#5,G#5,A#4,A#4,A#4,G#3,,,G#5,G#5,,G#3,,G#3,,G#5,C4,G#5,G#5,A#4,A#4,G#3,,,G#5,C4,,G#3,,G#3,,G#5,G#5,C4,A#4,A#4,A#4,G#3,,,G#5,G#5,,G#3,,G#3,,G#5,C4,G#5,G#5,A#4,A#4,G#3,,,G#5,G#5,,G#3,,G#3,,G#5,G#5,G#5,A#4,A#4,A#4,G#3,,,G#5,G#5,,G#3,,G#3,,G#5,C4,G#5,G#5,A#4,A#4,G#3,,,G#5,C4,,G#3,,G#3,,G#5,G#5,C4,A#4,A#4,A#4,G#3,,,G#5,G#5,,G#3,,G#3,,G#5,C4,G#5,G#5,A#4,A#4,G#3,,,G#5,G#5,,G#3,,G#3,,G#5,G#5,G#5,A#4,A#4,A#4,G#3,,,C4,C4,,G#3,,G#3,,,C4,C4,A#4,A#4,A#4,G#3,,,C4,C4,,G#3,,G#3,,,C4,C4,A#4,A#4,A#4,G#3,,,C4,C4,,G#3,,G#3,,,C4,C4,A#4,A#4,A#4,G#3,,,C4,C4,,G#3,,G#3,,,C4,C4,A#4,A#4,A#4,G#3,,,C4,C4,,G#3,,G#3,,,C4,C4,A#4,A#4,A#4,G#3,,,C4,C4,,G#3,,G#3,,,C4,C4,A#4,A#4,A#4,G#3,,,C4,C4,,G#3,,G#3,,,C4,C4,A#4,A#4,A#4,G#3,,,C4,C4,,G#3,,G#3,,,C4,C4,A#4,A#4,A#4,G#3,,,C4,C4,,G#3,,G#3 0.88,,,C4,C4,A#4,A#4,A#4,G#3 0.63,,,C4,C4,,G#3,,G#3 0.39,,,C4,C4,A#4,A#4,A#4,G#3 0.26,,,C4,C4,
,,,,,,,,,,,,,,,,G#3 0.99,,,,,,,,,,,,,,,,G#3,,,,,,,,,,,,,,,,G#3,,,,,,,,,,,,,,,,G#3,,,,,,,,,,,,,,,,G#3,,,,,,,,,,,,,,,,G#3,,,,,,,,,,,,,,,,G#3,,,,,,,,,,,,,,,,G#3,,,,,,,,,,,,,,,,G#3,,,,,,,,,,,,,,,,G#3,,,,,,,,,,,,,,,,G#3,,,,,,,,,,,,,,,,G#3,,,,,,,,,,,,,,,,G#3,,,,,,,,,,,,,,,,G#3,,,,,,,,,,,,,,,,G#3,,,,,,,,,,,,,,,,G#3,,,,,C4,C4,,,,,,,,C4,A#4,G#3,,,,,C4,C4,,,,,,,C4,C4,,G#3,,,,,C4,C4,,,,,,,,C4,A#4,G#3,,,,,,C4,,,,,,,C4,C4,,G#3,,,,,C4,C4,,,,,,,,C4,A#4,G#3,,,,,C4,C4,,,,,,,C4,C4,,G#3,,,,,C4,C4,,,,,,,,C4,A#4,G#3,,,,,,C4,,,,,,,C4,C4,,G#3,,,,,C4,C4,,,,,,,,C4,A#4,G#3,,,,,C4,C4,,,,,,,C4,C4,,G#3,,,,,C4,C4,,,,,,,,C4,A#4,G#3,,,,,,C4,,,,,,,C4,C4,,G#3,,,,,C4,C4,,,,,,,,C4,A#4,G#3,,,,,C4,,,,,,,,C4,,,G#3,,,,,C4,C4,,,,,,,,C4,A#4,G#3,,,,,C4,C4,,,,,,,C4,C4,,G#3,,,,,C4,C4,,,,,,,,C4,A#4,G#3,,,,,C4,,,,,,,,C4,,,G#3,,,,,C4,C4,,,,,,,,C4,A#4,G#3,,,,,C4,C4,,,,,,,C4,C4,E3,G#3,E3,,,,,,,,,,,,,,,G#3,,,,,,,,,,,,,,,,G#3,,,,,,,,,,,,,,,,G#3,,,,,,,,,,,,,,,,G#3,,,,,,,,,,,,,,,,G#3,,,,,,,,,,,,,,,,G#3,,,,,,,,,,,,,,,,G#3,,,,,,,,,,,,,,,,G#3,,,,,,,,,,,,,,,,G#3 0.88,,,,,,,,,,,,,,,,G#3 0.39,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E3 0.99,E3,,E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,G2 0.63,,,D3,D3,,,G2,,G2,,D3,D3,,D3,,A2,,,D3,D3,,,A2,,A2,,D3,D3,,D3,,G2,,,D3,D3,,,G2,,G2,,D3,D3,,D3,,A2,,,D3,D3,,,A2,,A2,,D3,D3,,,,E2,,,B2,B2,,,E2,,E2,,B2,B2,,B2,,D#2,,,B2,B2,,,D#2,,D#2,,B2,B2,,B2,,E2,,,B2,B2,,,E2,,E2,,B2,B2,,B2,,D#2,,,B2,B2,,,D#2,,D#2,,B2,B2,,B2,,G2,,,D3,D3,,,G2,,G2,,D3,D3,,D3,,A2,,,D3,D3,,,A2,,A2,,D3,D3,,D3,,G2,,,D3,D3,,,G2,,G2,,D3,D3,,D3,,A2,,,D3,D3,,,A2,,A2,,D3,D3,,,,E2,,,B2,B2,,,E2,,E2,,B2,B2,,B2,,D#2,,,B2,B2,,,D#2,,D#2,,B2,B2,,B2,,E2,,,B2,B2,,,E2,,E2,,B2,B2,,B2,,D#2,,,B2,B2,,,D#2,,D#2,,B2,B2,,,,G2,,,D3,D3,,,G2,,G2,,D3,D3,,D3,,A2,,,D3,D3,,,A2,,A2,,D3,D3,,D3,,G2,,,D3,D3,,,G2,,G2,,D3,D3,,D3,,A2,,,D3,D3,,,A2,,A2,,D3,D3,,,,G2,,,D3,D3,,,G2,,G2,,D3,D3,,D3,,A2,,,D3,D3,,,A2,,A2,,D3,D3,,D3,,G2,,,D3,D3,,,G2,,G2,,D3,D3,,D3,,A2,,,D3,D3,,,A2,,A2,,D3,D3,,,,E2,,,B2,B2,,,E2,,E2,,B2,B2,,B2,,D#2,,,B2,B2,,,D#2,,D#2,,B2,B2,,B2,,E2,,,B2,B2,,,E2,,E2,,B2,B2,,B2,,D#2,,,B2,B2,,,D#2,,D#2,,B2,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G2,,,D3,D3,,,G2,,G2,,D3,D3,,D3,,A2,,,D3,D3,,,A2,,A2,,D3,D3,,D3,,G2,,,D3,D3,,,G2,,G2,,D3,D3,,D3,,A2,,,D3,D3,,,A2,,A2,,D3,D3,,,,E2,,,B2,B2,,,E2,,E2,,B2,B2,,B2,,D#2,,,B2,B2,,,D#2,,D#2,,B2,B2,,B2,,E2,,,B2,B2,,,E2,,E2,,B2,B2,,B2,,D#2,,,B2,B2,,,D#2,,D#2,,B2,B2,,B2,,G2,,,D3,D3,,,G2 0.5,,G2,,D3,D3,,D3,,A2 0.39,,,D3,D3,,,A2 0.26,,A2,,D3,D3,,D3,,G2 0.13,,,D3,D3,
,,G3 0.99,D4,,G3,D4,,G3,D4,-,-,-,-,-,-,-,-,D3,A3,-,D3,A3,,D3,A3,-,-,-,-,-,-,-,-,G3,D4,-,G3,D4,,G3,D4,-,-,-,-,-,-,-,-,D3,A3,-,D3,A3,,D3,A3,-,-,-,-,-,-,-,-,E3,B3,-,E3,B3,,E3,B3,-,-,-,-,-,-,-,-,D#3,B3,-,D#3,B3,,D#3,B3,-,-,-,-,-,-,-,-,E3,B3,-,E3,B3,,E3,B3,-,-,-,-,-,-,-,-,D#3,B3,-,D#3,B3,,D#3,B3,-,-,-,-,-,-,-,-,G3,D4,-,G3,D4,,G3,D4,-,-,-,-,-,-,-,-,D3,A3,-,D3,A3,,D3,A3,-,-,-,-,-,-,-,-,G3,D4,-,G3,D4,,G3,D4,-,-,-,-,-,-,-,-,D3,A3,-,D3,A3,,D3,A3,-,-,-,-,-,-,-,-,E3,B3,-,E3,B3,,E3,B3,-,-,-,-,-,-,-,-,D#3,B3,-,D#3,B3,,D#3,B3,-,-,-,-,-,-,-,-,E3,B3,-,E3,B3,,E3,B3,-,-,-,-,-,-,-,-,D#3,B3,-,D#3,B3,,D#3,B3,-,-,-,-,-,-,-,-,G3,D4,-,G3,D4,,G3,D4,-,-,-,-,-,-,-,-,D3,A3,-,D3,A3,,D3,A3,-,-,-,-,-,-,-,-,G3,D4,-,G3,D4,,G3,D4,-,-,-,-,-,-,-,-,D3,A3,-,D3,A3,,D3,A3,-,-,-,-,-,-,-,-,G3,D4,-,G3,D4,,G3,D4,-,-,-,-,-,-,-,-,D3,A3,-,D3,A3,,D3,A3,-,-,-,-,-,-,-,-,G3,D4,-,G3,D4,,G3,D4,-,-,-,-,-,-,-,-,D3,A3,-,D3,A3,,D3,A3,-,-,-,-,-,-,-,-,E3,B3,-,E3,B3,,E3,B3,-,-,-,-,-,-,-,-,D#3,B3,-,D#3,B3,,D#3,B3,-,-,-,-,-,-,-,-,E3,B3,-,E3,B3,,E3,B3,-,-,-,-,-,-,-,-,D#3,B3,-,D#3,B3,,D#3,B3,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3,D4,,G3,D4,,G3,D4,-,-,-,-,-,-,-,-,D3,A3,-,D3,A3,,D3,A3,-,-,-,-,-,-,-,-,G3,D4,-,G3,D4,,G3,D4,-,-,-,-,-,-,-,-,D3,A3,-,D3,A3,,D3,A3,-,-,-,-,-,-,-,-,E3,B3,-,E3,B3,,E3,B3,-,-,-,-,-,-,-,-,D#3,B3,-,D#3,B3,,D#3,B3,-,-,-,-,-,-,-,-,E3,B3,-,E3,B3,,E3,B3,-,-,-,-,-,-,-,-,D#3,B3,-,D#3,B3,,D#3,B3,-,-,-,-,-,-,-,-,G3,D4,-,G3,D4,,G3,D4 0.88,-,-,-,-,-,-,-,-,D3 0.63,A3,-,D3,A3,,D3,A3 0.39,-,-,-,-,-,-,-,-,G3 0.26,D4,-,G3,D4,
,,,A#3 0.99,,,A#3,,,A#3,-,-,-,-,-,-,-,-,-,F#3,-,,F#3,,,F#3,-,-,-,-,-,-,-,-,-,A#3,-,,A#3,,,A#3,-,-,-,-,-,-,-,-,-,F#3,-,,F#3,,,F#3,-,-,-,-,-,-,-,-,-,G3,-,,G3,,,G3,-,-,-,-,-,-,-,-,-,F#3,-,,F#3,,,F#3,-,-,-,-,-,-,-,-,-,G3,-,,G3,,,G3,-,-,-,-,-,-,-,-,-,F#3,-,,F#3,,,F#3,-,-,-,-,-,-,-,-,-,A#3,-,,A#3,,,A#3,-,-,-,-,-,-,-,-,-,F#3,-,,F#3,,,F#3,-,-,-,-,-,-,-,-,-,A#3,-,,A#3,,,A#3,-,-,-,-,-,-,-,-,-,F#3,-,,F#3,,,F#3,-,-,-,-,-,-,-,-,-,G3,-,,G3,,,G3,-,-,-,-,-,-,-,-,-,F#3,-,,F#3,,,F#3,-,-,-,-,-,-,-,-,-,G3,-,,G3,,,G3,-,-,-,-,-,-,-,-,-,F#3,-,,F#3,,,F#3,-,-,-,-,-,-,-,-,-,A#3,-,,A#3,,,A#3,-,-,-,-,-,-,-,-,-,F#3,-,,F#3,,,F#3,-,-,-,-,-,-,-,-,-,A#3,-,,A#3,,,A#3,-,-,-,-,-,-,-,-,-,F#3,-,,F#3,,,F#3,-,-,-,-,-,-,-,-,-,A#3,-,,A#3,,,A#3,-,-,-,-,-,-,-,-,-,F#3,-,,F#3,,,F#3,-,-,-,-,-,-,-,-,-,A#3,-,,A#3,,,A#3,-,-,-,-,-,-,-,-,-,F#3,-,,F#3,,,F#3,-,-,-,-,-,-,-,-,-,G3,-,,G3,,,G3,-,-,-,-,-,-,-,-,-,F#3,-,,F#3,,,F#3,-,-,-,-,-,-,-,-,-,G3,-,,G3,,,G3,-,-,-,-,-,-,-,-,-,F#3,-,,F#3,,,F#3,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A#3,,,A#3,,,A#3,-,-,-,-,-,-,-,-,-,F#3,-,,F#3,,,F#3,-,-,-,-,-,-,-,-,-,A#3,-,,A#3,,,A#3,-,-,-,-,-,-,-,-,-,F#3,-,,F#3,,,F#3,-,-,-,-,-,-,-,-,-,G3,-,,G3,,,G3,-,-,-,-,-,-,-,-,-,F#3,-,,F#3,,,F#3,-,-,-,-,-,-,-,-,-,G3,-,,G3,,,G3,-,-,-,-,-,-,-,-,-,F#3,-,,F#3,,,F#3,-,-,-,-,-,-,-,-,-,A#3,-,,A#3,,,A#3 0.88,-,-,-,-,-,-,-,-,-,F#3 0.63,-,,F#3,,,F#3 0.39,-,-,-,-,-,-,-,-,-,A#3 0.26,-,,A#3,
